Millis,Leituras
0,318
10,242
20,193
30,279
41,177
52,241
62,265
73,163
83,127
94,164
104,115
115,211
125,106
136,159
147,204
157,102
167,197
179,173
189,73
199,176
210,65
221,35
231,146
241,25
252,130
263,107
273,0
284,106
294,14
305,0
315,104
326,0
336,0
347,102
358,0
368,102
378,6
389,0
400,103
410,4
420,104
431,113
442,10
452,112
462,26
474,11
484,118
494,10
504,0
516,108
526,0
536,106
547,16
558,0
568,107
578,0
589,92
600,106
610,7
620,111
631,34
642,6
652,113
663,11
673,0
684,101
694,3
705,108
715,36
726,0
736,98
747,1
757,90
768,111
779,14
789,117
799,48
809,15
821,118
831,18
841,8
851,61
863,0
873,107
883,31
894,0
905,103
915,0
925,0
936,99
947,2
957,108
967,39
978,0
989,109
999,5
1009,0
1020,82
1031,0
1041,102
1052,55
1062,6
1073,111
1084,11
1094,1
1104,112
1116,9
1126,0
1136,72
1146,0
1158,108
1168,7
1178,35
1189,114
1200,0
1210,101
1221,102
1231,5
1242,111
1253,8
1263,0
1273,102
1285,1
1295,95
1305,108
1315,8
1327,114
1337,36
1347,2
1358,110
1369,5
1379,85
1390,107
1400,8
1411,112
1422,15
1432,9
1442,116
1454,14
1464,8
1474,77
1484,13
1496,117
1506,86
1516,6
1527,114
1538,15
1548,0
1559,73
1569,4
1580,107
1591,102
1601,8
1611,114
1623,22
1633,13
1643,117
1654,0
1665,92
1675,106
1686,7
1696,109
1707,8
1717,5
1728,110
1738,10
1748,93
1760,73
1770,3
1780,109
1792,14
1802,8
1812,114
1823,12
1833,76
1844,94
1855,1
1865,106
1875,42
1887,6
1897,111
1907,12
1917,0
1929,110
1939,0
1949,101
1960,63
1971,5
1981,109
1992,18
2002,15
2013,115
2024,13
2034,110
2044,84
2056,2
2066,108
2076,20
2087,0
2098,100
2108,0
2119,0
2129,96
2140,1
2150,106
2161,42
2171,0
2182,105
2193,4
2203,80
2213,73
2225,0
2235,103
2245,58
2256,4
2267,109
2277,0
2287,55
2298,107
2309,0
2319,101
2330,82
2340,5
2351,109
2362,14
2372,23
2382,113
2394,12
2404,112
2414,99
2425,17
2436,119
2446,17
2457,13
2467,117
2478,17
2489,101
2499,76
2509,0
2521,0
2531,33
2541,0
2551,99
2563,2
2573,77
2583,110
2594,9
2605,35
2615,38
2626,3
2636,108
2647,9
2658,62
2668,116
2678,14
2690,116
2700,103
2710,17
2721,118
2732,23
2742,2
2753,111
2763,11
2774,104
2785,120
2795,14
2805,119
2817,36
2827,0
2837,99
2848,2
2859,91
2869,107
2879,3
2890,0
2900,36
2911,0
2922,103
2932,0
2942,68
2954,106
2964,6
2974,110
2985,73
2996,8
3006,111
3016,0
3027,44
3038,107
3048,0
3059,0
3069,85
3080,0
3091,102
3101,2
3111,0
3122,101
3133,3
3143,32
3153,107
3165,7
3175,110
3185,14
3196,0
3207,100
3217,0
3228,89
3238,100
3249,0
3260,104
3270,28
3280,0
3292,100
3302,0
3312,69
3322,96
3334,5
3344,107
3354,61
3365,8
3376,112
3386,12
3397,62
3407,90
3418,18
3429,9
3439,77
3449,1
3460,105
3471,1
3481,0
3491,100
3503,3
3513,105
3523,110
3534,0
3545,101
3555,16
3566,0
3576,104
3587,4
3598,99
3608,109
3618,0
3630,102
3640,25
3650,0
3660,106
3672,0
3682,83
3692,106
3703,0
3714,105
3724,12
3735,5
3745,110
3756,9
3767,67
3777,116
3787,14
3799,117
3809,91
3819,16
3830,115
3841,22
3851,42
3862,90
3872,0
3883,101
3894,71
3904,0
3914,105
3926,22
3936,1
3946,109
3956,0
3968,0
3978,97
3988,2
3999,106
4009,47
4020,18
4031,123
4041,20
4051,10
4063,47
4073,13
4083,114
4094,68
4105,14
4115,118
4126,0
4136,0
4147,102
4157,2
4168,105
4178,89
4189,7
4200,110
4210,16
4220,40
4232,116
4242,14
4252,110
4263,65
4274,15
4284,118
4295,25
4305,4
4316,109
4327,9
4337,97
4347,111
4359,16
4369,116
4379,56
4390,0
4401,100
4411,4
4421,0
4432,100
4443,0
4453,101
4464,21
4474,3
4485,107
4496,1
4506,50
4516,108
4528,8
4538,110
4548,104
4559,12
4570,112
4580,7
4591,12
4601,106
4612,0
4623,95
4633,104
4643,0
4654,101
4665,24
4675,0
4685,99
4697,0
4707,85
4717,102
4728,0
4739,104
4749,13
4760,4
4770,108
4781,8
4792,83
4802,73
4812,12
4823,116
4834,78
4844,9
4854,114
4866,0
4876,0
4886,103
4897,3
4908,0
4918,37
4929,0
4939,106
4950,11
4960,32
4971,82
4981,10
4992,110
5003,112
5013,0
5023,102
5035,18
5045,0
5055,107
5066,0
5076,0
5087,65
5098,0
5108,102
5118,35
5130,3
5140,107
5150,7
5160,88
5172,113
5182,0
5192,103
5203,54
5214,0
5224,102
5235,2
5245,56
5256,111
5267,7
5277,110
5287,61
5299,1
5309,105
5319,11
5330,0
5341,105
5351,6
5361,108
5372,110
5383,10
5393,113
5404,24
5414,0
5425,102
5436,0
5446,0
5456,97
5468,2
5478,105
5488,38
5499,5
5510,109
5520,0
5531,74
5541,105
5552,2
5562,106
5573,62
5583,0
5594,100
5605,2
5615,0
5625,103
5637,0
5647,101
5657,78
5668,0
5679,104
5689,8
5700,33
5710,110
5721,0
5731,97
5742,99
5752,0
5763,100
5774,9
5784,1
5794,104
5806,0
5816,92
5826,101
5837,0
5848,103
5858,31
5869,4
5879,107
5890,8
5900,89
5911,109
5921,12
5932,114
5943,65
5953,13
5963,118
5975,17
5985,12
5995,119
6006,17
6017,121
6027,110
6038,21
6048,123
6059,28
6070,33
6080,122
6090,18
6102,0
6112,100
6122,5
6133,109
6144,31
6154,8
6165,113
6175,11
6185,0
6197,77
6207,0
6217,101
6228,36
6239,0
6249,105
6259,0
6270,0
6281,102
6291,0
6302,0
6312,53
6323,0
6333,101
6344,3
6354,59
6365,110
6376,0
6386,102
6396,88
6408,5
6418,107
6428,12
6439,30
6450,112
6460,10
6471,110
6481,114
6492,16
6503,117
6513,39
6523,14
6535,120
6545,17
6555,0
6566,97
6577,2
6587,107
6598,48
6608,7
6619,110
6630,10
6640,76
6650,18
6661,0
6672,104
6682,72
6692,6
6704,111
6714,11
6724,0
6735,101
6746,0
6756,101
6767,98
6777,4
6788,106
6799,15
6809,18
6819,112
6831,0
6841,99
6851,66
6861,0
6873,106
6883,25
6893,2
6904,107
6915,8
6925,97
6936,109
6946,14
6957,116
6968,58
6978,15
6988,118
7000,17
7010,77
7020,123
7031,20
7042,121
7052,101
7063,0
7073,102
7084,9
7095,35
7105,111
7115,9
7127,7
7137,106
7147,5
7157,108
7169,12
7179,0
7189,107
7200,6
7211,97
7221,110
7232,3
7242,107
7252,37
7264,7
7274,111
7284,11
7296,90
7306,114
7316,2
7327,109
7337,63
7348,9
7358,111
7369,0
7379,50
7390,106
7401,6
7411,0
7421,79
7433,0
7443,102
7453,10
7464,0
7475,105
7485,4
7495,107
7506,108
7517,9
7527,113
7538,28
7548,11
7559,115
7570,14
7580,101
7591,117
7602,19
7612,121
7623,39
7633,0
7644,104
7655,7
7665,72
7675,110
7686,10
7697,114
7707,84
7717,13
7729,116
7739,19
7749,50
7760,120
7771,17
7781,120
7792,126
7802,20
7813,123
7824,34
7834,16
7844,122
7856,2
7866,0
7876,50
7887,2
7898,107
7908,38
7919,7
7929,112
7940,0
7951,78
7961,107
7971,6
7982,110
7993,64
8003,10
8013,113
8025,0
8035,49
8045,108
8056,7
8067,108
8077,35
8088,7
8098,112
8109,17
8120,26
8130,116
8140,15
8152,0
8162,94
8172,2
8183,107
8194,11
8204,0
8214,101
8225,0
8236,91
8246,105
8257,3
8267,108
8278,41
8289,0
8299,104
8309,0
8321,0
8331,105
8341,4
8352,110
8363,65
8373,7
8383,109
8394,10
8404,61
8415,118
8426,13
8436,116
8446,110
8458,16
8468,121
8479,11
8489,0
8500,102
8510,1
8521,100
8531,109
8542,9
8553,113
8563,35
8573,10
8585,115
8595,3
8605,87
8616,109
8627,10
8637,115
8648,63
8658,12
8669,118
8680,16
8690,0
8700,110
8712,6
8722,110
8732,89
8743,11
8754,116
8764,9
8775,29
8785,114
8796,13
8807,112
8817,118
8827,16
8839,119
8849,36
8859,14
8870,114
8881,17
8891,100
8902,121
8912,21
8923,123
8934,24
8944,20
8954,126
8966,24
8976,76
8986,76
8997,20
9008,124
9018,105
9029,22
9039,125
9050,30
9061,40
9071,129
9081,25
9093,123
9103,118
9113,16
9124,120
9135,43
9145,16
9156,123
9166,19
9177,99
9188,122
9198,22
9208,125
9220,76
9230,24
9240,128
9251,24
9262,75
9272,130
9283,19
9293,123
9304,114
9315,21
9325,126
9335,31
9347,33
9357,128
9367,24
9378,2
9389,103
9399,6
9410,109
9420,32
9431,8
9442,114
9452,0
9462,81
9474,105
9484,0
9494,99
9505,39
9516,1
9526,108
9536,7
9547,75
9558,114
9568,0
9579,103
9589,69
9600,3
9611,109
9621,9
9631,49
9643,117
9653,12
9663,114
9674,115
9684,0
9695,101
9706,14
9716,3
9726,109
9738,7
9748,103
9758,109
9769,0
9780,102
9790,23
9801,0
9811,102
9822,4
9832,87
9843,103
9853,0
9864,103
9875,48
9885,0
9895,101
9907,2
9917,0
9927,74
9938,1
9949,107
9959,66
9970,0
9980,106
9991,0
10001,37
10012,106
10022,0
10034,99
10044,110
10054,0
10065,101
10076,20
10086,0
10097,102
10107,1
10118,87
10129,108
10139,0
10150,103
10161,57
10171,0
10182,100
10192,0
10203,42
10214,107
10224,0
10234,101
10246,112
10256,5
10267,111
10277,28
10288,8
10299,115
10309,8
10319,91
10331,114
10341,0
10351,105
10362,61
10373,0
10384,100
10394,2
10404,0
10416,103
10426,1
10436,103
10447,113
10458,7
10468,111
10479,29
10489,8
10501,100
10511,11
10521,15
10532,111
10543,11
10554,0
10564,55
10574,0
10586,102
10596,2
10606,42
10617,111
10628,0
10638,101
10649,108
10659,2
10670,108
10681,26
10691,0
10702,108
10713,5
10723,87
10734,110
10744,0
10755,102
10766,63
10776,3
10787,110
10798,9
10808,46
10819,115
10829,13
10840,113
10851,117
10861,15
10872,119
10883,38
10893,0
10904,102
10914,2
10925,78
10936,111
10946,0
10956,105
10968,70
10978,4
10989,112
10999,12
11010,40
11021,116
11031,2
11041,0
11053,104
11063,0
11073,105
11084,21
11095,0
11106,104
11116,0
11126,77
11138,106
11148,6
11158,111
11169,72
11180,9
11190,113
11201,15
11211,43
11223,119
11233,17
11243,113
11254,118
11265,18
11276,122
11286,42
11296,13
11308,119
11318,15
11329,80
11339,95
11350,19
11361,122
11371,60
11381,0
11393,105
11403,11
11413,20
11424,111
11435,11
11446,0
11456,100
11466,0
11478,107
11488,40
11498,0
11509,101
11520,0
11530,66
11541,100
11551,2
11563,108
11573,83
11583,5
11594,110
11604,15
11615,0
11626,101
11636,3
